Frame Number,Number of Clusters
0,50
1,48
2,47
3,47
4,48
5,48
6,47
7,48
8,45
9,45
10,45
11,46
12,47
13,44
14,44
15,46
16,47
17,45
18,45
19,45
20,45
21,43
22,44
23,46
24,45
25,43
26,44
27,46
28,44
29,44
30,47
31,46
32,45
33,44
34,43
35,45
36,44
37,45
38,44
39,46
40,46
41,48
42,47
43,46
44,44
45,45
46,48
47,45
48,45
49,44
50,43
51,42
52,43
53,43
54,43
55,42
56,44
57,42
58,45
59,42
60,41
61,43
62,42
63,43
64,41
65,41
66,44
67,42
68,39
69,42
70,41
71,42
72,43
73,43
74,41
75,44
76,40
77,40
78,41
79,42
80,41
81,41
82,41
83,42
84,42
85,39
86,40
87,40
88,44
89,40
90,42
91,41
92,44
93,39
94,42
95,41
96,42
97,43
98,40
99,42
100,42
101,41
102,41
103,41
104,44
105,41
106,40
107,41
108,37
109,38
110,38
111,41
112,39
113,36
114,40
115,38
116,42
117,39
118,40
119,39
120,40
121,39
122,40
123,39
124,38
125,38
126,37
127,41
128,39
129,37
130,37
131,38
132,38
133,38
134,37
135,38
136,37
137,38
138,39
139,36
140,39
141,36
142,36
143,39
144,36
145,35
146,39
147,37
148,39
149,37
150,37
151,40
152,40
153,41
154,37
155,39
156,41
157,39
158,39
159,40
160,38
161,39
162,38
163,37
164,39
165,40
166,38
167,38
168,39
169,39
170,36
171,37
172,39
173,39
174,37
175,40
176,41
177,40
178,37
179,42
180,40
181,42
182,40
183,38
184,40
185,41
186,38
187,40
188,40
189,39
190,42
191,41
192,38
193,39
194,38
195,37
196,39
197,39
198,41
199,39
200,38
201,36
202,39
203,39
204,40
205,39
206,37
207,37
208,39
209,36
210,37
211,36
212,33
213,36
214,35
215,37
216,39
217,38
218,36
219,39
220,36
221,37
222,39
223,37
224,35
225,41
226,37
227,34
228,39
229,39
230,36
231,36
232,40
233,42
234,40
235,40
236,37
237,39
238,37
239,37
240,41
241,42
242,40
243,40
244,39
245,38
246,36
247,38
248,39
249,39
250,36
251,38
252,37
253,39
254,38
255,41
256,40
257,37
258,40
259,39
260,41
261,39
262,39
263,39
264,38
265,40
266,41
267,40
268,39
269,41
270,40
271,43
272,39
273,37
274,37
275,38
276,37
277,41
278,38
279,38
280,35
281,38
282,38
283,38
284,39
285,38
286,36
287,35
288,35
289,36
290,40
291,38
292,39
293,35
294,39
295,37
296,39
297,38
298,39
299,38
300,37
301,38
302,37
303,35
304,35
305,36
306,40
307,38
308,36
309,38
310,38
311,36
312,39
313,39
314,37
315,39
316,36
317,37
318,37
319,37
320,35
321,39
322,36
323,35
324,38
325,35
326,35
327,37
328,37
329,35
330,37
331,36
332,40
333,37
334,38
335,37
336,41
337,40
338,37
339,36
340,38
341,38
342,42
343,39
344,37
345,40
346,38
347,39
348,37
349,36
350,36
351,38
352,39
353,40
354,40
355,40
356,41
357,37
358,39
359,38
360,40
361,38
362,36
363,36
364,40
365,38
366,38
367,38
368,37
369,36
370,37
371,37
372,37
373,40
374,36
375,34
376,35
377,39
378,39
379,39
380,37
381,39
382,37
383,35
384,35
385,35
386,35
387,34
388,34
389,36
390,37
391,37
392,33
393,37
394,34
395,37
396,36
397,34
398,34
399,36
400,37
401,37
402,34
403,35
404,36
405,32
406,32
407,33
408,30
409,34
410,35
411,34
412,35
413,36
414,36
415,35
416,37
417,34
418,39
419,31
420,37
421,36
422,36
423,34
424,37
425,33
426,34
427,36
428,39
429,40
430,37
431,38
432,41
433,40
434,39
435,36
436,35
437,38
438,35
439,35
440,33
441,32
442,34
443,30
444,36
445,35
446,37
447,34
448,37
449,34
450,37
451,34
452,38
453,37
454,38
455,34
456,37
457,34
458,36
459,32
460,32
461,34
462,34
463,32
464,33
465,36
466,31
467,31
468,32
469,34
470,35
471,33
472,37
473,33
474,31
475,35
476,31
477,30
478,33
479,34
480,37
481,39
482,37
483,32
484,35
485,38
486,33
487,33
488,32
489,34
490,32
491,37
492,35
493,38
494,37
495,33
496,35
497,32
498,34
499,34
500,36
501,35
502,33
503,36
504,34
505,31
506,34
507,32
508,31
509,33
510,33
511,32
512,34
513,34
514,36
515,33
516,33
517,34
518,32
519,32
520,33
521,30
522,34
523,34
524,32
525,31
526,32
527,32
528,35
529,34
530,32
531,32
532,33
533,36
534,33
535,34
536,35
537,32
538,33
539,33
540,35
541,34
542,33
543,33
544,31
545,31
546,33
547,31
548,35
549,31
550,32
551,34
552,32
553,35
554,34
555,36
556,34
557,33
558,36
559,33
560,34
561,33
562,36
563,35
564,35
565,37
566,33
567,35
568,35
569,37
570,34
571,34
572,36
573,35
574,35
575,33
576,30
577,33
578,33
579,33
580,34
581,38
582,36
583,36
584,34
585,34
586,31
587,34
588,36
589,34
590,35
591,36
592,34
593,36
594,33
595,36
596,32
597,33
598,35
599,35
600,34
601,33
602,38
603,36
604,34
605,32
606,31
607,32
608,32
609,33
610,36
611,33
612,32
613,33
614,34
615,32
616,39
617,32
618,32
619,34
620,37
621,33
622,33
623,35
624,33
625,36
626,34
627,36
628,34
629,34
630,34
631,34
632,34
633,34
634,33
635,32
636,34
637,34
638,35
639,34
640,33
641,32
642,36
643,37
644,35
645,35
646,36
647,31
648,34
649,37
650,36
651,35
652,36
653,31
654,39
655,37
656,38
657,36
658,35
659,35
660,34
661,36
662,36
663,33
664,39
665,36
666,37
667,35
668,37
669,34
670,33
671,35
672,34
673,37
674,32
675,34
676,38
677,37
678,32
679,33
680,35
681,32
682,34
683,34
684,33
685,34
686,33
687,34
688,35
689,36
690,34
691,34
692,35
693,32
694,33
695,36
696,32
697,33
698,33
699,37
700,37
701,32
702,35
703,32
704,34
705,36
706,34
707,33
708,31
709,32
710,34
711,36
712,34
713,36
714,35
715,34
716,36
717,35
718,34
719,33
720,34
721,32
722,34
723,35
724,32
725,35
726,38
727,34
728,33
729,39
730,32
731,35
732,35
733,33
734,31
735,32
736,33
737,32
738,34
739,34
740,36
741,32
742,31
743,35
744,32
745,37
746,36
747,37
748,34
749,36
750,35
751,33
752,34
753,34
754,36
755,34
756,34
757,36
758,36
759,35
760,37
761,33
762,34
763,35
764,37
765,35
766,40
767,35
768,34
769,33
770,31
771,37
772,36
773,33
774,34
775,34
776,33
777,30
778,33
779,35
780,35
781,40
782,36
783,34
784,35
785,32
786,32
787,30
788,34
789,34
790,32
791,35
792,36
793,32
794,36
795,36
796,32
797,31
798,32
799,34
800,37
801,34
802,32
803,37
804,33
805,34
806,31
807,34
808,32
809,32
810,35
811,36
812,36
813,36
814,34
815,32
816,33
817,34
818,36
819,32
820,34
821,34
822,37
823,32
824,34
825,33
826,37
827,36
828,32
829,35
830,36
831,36
832,37
833,36
834,34
835,36
836,35
837,35
838,32
839,35
840,33
841,34
842,33
843,36
844,35
845,35
846,33
847,31
848,34
849,32
850,36
851,32
852,34
853,34
854,37
855,31
856,32
857,33
858,32
859,31
860,34
861,35
862,37
863,34
864,35
865,33
866,32
867,31
868,33
869,28
870,34
871,37
872,31
873,35
874,34
875,31
876,35
877,36
878,36
879,33
880,37
881,33
882,37
883,35
884,36
885,37
886,36
887,36
888,35
889,34
890,36
891,34
892,33
893,37
894,33
895,34
896,35
897,36
898,36
899,33
900,36
901,34
902,37
903,31
904,32
905,37
906,38
907,35
908,33
909,36
910,32
911,34
912,35
913,38
914,37
915,36
916,36
917,35
918,39
919,34
920,37
921,34
922,37
923,35
924,36
925,36
926,36
927,38
928,34
929,35
930,34
931,33
932,35
933,35
934,33
935,35
936,37
937,31
938,35
939,33
940,35
941,35
942,36
943,36
944,35
945,33
946,37
947,37
948,35
949,37
950,36
951,37
952,36
953,33
954,35
955,38
956,36
957,37
958,36
959,35
960,36
961,35
962,37
963,37
964,36
965,38
966,36
967,34
968,36
969,38
970,35
971,33
972,36
973,35
974,32
975,35
976,37
977,38
978,34
979,35
980,34
981,35
982,36
983,34
984,34
985,34
986,37
987,36
988,38
989,35
990,37
991,38
992,37
993,33
994,37
995,35
996,33
997,35
998,35
999,32
1000,36
1001,33
1002,35
1003,32
1004,36
1005,32
1006,34
1007,36
1008,35
1009,31
1010,34
1011,33
1012,30
1013,34
1014,35
1015,31
1016,36
1017,35
1018,35
1019,35
1020,35
1021,34
1022,36
1023,36
1024,36
1025,35
1026,35
1027,35
1028,34
1029,36
1030,35
1031,35
1032,36
1033,36
1034,38
1035,37
1036,33
1037,38
1038,38
1039,35
1040,36
1041,34
1042,40
1043,34
1044,34
1045,35
1046,37
1047,39
1048,33
1049,32
1050,34
1051,34
1052,35
1053,34
1054,35
1055,35
1056,36
1057,37
1058,35
1059,34
1060,37
1061,36
1062,36
1063,34
1064,37
1065,35
1066,33
1067,36
1068,34
1069,38
1070,35
1071,34
1072,35
1073,39
1074,34
1075,33
1076,31
1077,35
1078,35
1079,36
1080,41
1081,35
1082,35
1083,37
1084,34
1085,35
1086,34
1087,30
1088,34
1089,31
1090,34
1091,35
1092,37
1093,35
1094,34
1095,31
1096,39
1097,37
1098,34
1099,35
1100,33
1101,32
1102,32
1103,34
1104,31
1105,34
1106,37
1107,34
1108,34
1109,33
1110,30
1111,33
1112,34
1113,32
1114,36
1115,35
1116,32
1117,36
1118,36
1119,37
1120,36
1121,31
1122,33
1123,38
1124,33
1125,32
1126,34
1127,33
1128,33
1129,35
1130,32
1131,31
1132,36
1133,37
1134,34
1135,33
1136,33
1137,32
1138,35
1139,34
1140,34
1141,37
1142,31
1143,36
1144,32
1145,32
1146,34
1147,33
1148,35
1149,34
1150,34
1151,34
1152,35
1153,33
1154,33
1155,33
1156,35
1157,37
1158,36
1159,36
1160,32
1161,34
1162,37
1163,34
1164,35
1165,33
1166,37
1167,34
1168,31
1169,33
1170,32
1171,35
1172,34
1173,36
1174,37
1175,36
1176,36
1177,35
1178,38
1179,34
1180,32
1181,36
1182,35
1183,38
1184,32
1185,35
1186,36
1187,36
1188,35
1189,36
1190,36
1191,34
1192,35
1193,32
1194,28
1195,37
1196,35
1197,32
1198,35
1199,31
1200,35
1201,33
1202,35
1203,31
1204,34
1205,36
1206,31
1207,32
1208,35
1209,34
1210,33
1211,34
1212,33
1213,34
1214,35
1215,37
1216,32
1217,35
1218,32
1219,35
1220,35
1221,34
1222,32
1223,33
1224,34
1225,35
1226,35
1227,37
1228,36
1229,35
1230,33
1231,34
1232,34
1233,34
1234,34
1235,35
1236,34
1237,36
1238,36
1239,33
1240,34
1241,36
1242,35
1243,35
1244,35
1245,35
1246,35
1247,32
1248,35
1249,36
1250,37
1251,34
1252,37
1253,36
1254,33
1255,38
1256,38
1257,32
1258,35
1259,37
1260,30
1261,34
1262,33
1263,36
1264,35
1265,34
1266,31
1267,35
1268,34
1269,33
1270,35
1271,33
1272,35
1273,36
1274,34
1275,34
1276,34
1277,36
1278,38
1279,36
1280,34
1281,35
1282,34
1283,36
1284,34
1285,33
1286,38
1287,35
1288,36
1289,35
1290,36
1291,35
1292,38
1293,36
1294,36
1295,38
1296,37
1297,34
1298,38
1299,35
1300,33
1301,33
1302,35
1303,34
1304,35
1305,33
1306,35
1307,32
1308,35
1309,33
1310,34
1311,31
1312,31
1313,37
1314,33
1315,36
1316,32
1317,36
1318,35
1319,36
1320,35
1321,36
1322,35
1323,33
1324,34
1325,34
1326,34
1327,34
1328,34
1329,38
1330,34
1331,34
1332,32
1333,36
1334,34
1335,33
1336,35
1337,32
1338,36
1339,33
1340,34
1341,34
1342,32
1343,35
1344,35
1345,35
1346,36
1347,32
1348,31
1349,36
1350,35
1351,33
1352,33
1353,33
1354,32
1355,33
1356,36
1357,33
1358,34
1359,35
1360,32
1361,35
1362,33
1363,35
1364,33
1365,30
1366,35
1367,36
1368,32
1369,36
1370,36
1371,34
1372,36
1373,31
1374,31
1375,34
1376,33
1377,34
1378,32
1379,35
1380,31
1381,33
1382,34
1383,34
1384,35
1385,36
1386,31
1387,33
1388,34
1389,33
1390,33
1391,31
1392,35
1393,33
1394,37
1395,33
1396,34
1397,33
1398,36
1399,35
1400,34
1401,35
1402,32
1403,35
1404,33
1405,36
1406,37
1407,38
1408,35
1409,34
1410,36
1411,34
1412,40
1413,37
1414,36
1415,36
1416,36
1417,36
1418,33
1419,36
1420,36
1421,32
1422,34
1423,34
1424,39
1425,34
1426,37
1427,34
1428,35
1429,34
1430,34
1431,33
1432,39
1433,33
1434,35
1435,35
1436,35
1437,35
1438,35
1439,33
1440,33
1441,36
1442,35
1443,37
1444,36
1445,36
1446,36
1447,31
1448,31
1449,38
1450,35
1451,33
1452,31
1453,35
1454,30
1455,34
1456,32
1457,32
1458,33
1459,32
1460,35
1461,33
1462,36
1463,35
1464,33
1465,35
1466,33
1467,34
1468,31
1469,32
1470,33
1471,35
1472,34
1473,31
1474,32
1475,32
1476,33
1477,35
1478,34
1479,35
1480,35
1481,37
1482,35
1483,33
1484,35
1485,33
1486,36
1487,35
1488,32
1489,33
1490,33
1491,39
1492,30
1493,34
1494,33
1495,36
1496,31
1497,33
1498,32
1499,31
1500,33
1501,32
1502,34
1503,33
1504,32
1505,36
1506,35
1507,34
1508,32
1509,36
1510,30
1511,38
1512,36
1513,36
1514,35
1515,36
