Frame Number,Number of Clusters
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,1
11,0
12,0
13,0
14,1
15,0
16,1
17,0
18,0
19,0
20,0
21,0
22,0
23,2
24,1
25,2
26,2
27,2
28,0
29,2
30,3
31,1
32,1
33,0
34,0
35,1
36,1
37,2
38,1
39,2
40,2
41,1
42,1
43,0
44,2
45,0
46,1
47,2
48,1
49,2
50,2
51,2
52,1
53,0
54,1
55,2
56,3
57,0
58,1
59,3
60,3
61,4
62,3
63,2
64,3
65,3
66,1
67,2
68,6
69,2
70,5
71,2
72,1
73,2
74,3
75,2
76,4
77,3
78,3
79,2
80,6
81,3
82,3
83,4
84,5
85,6
86,6
87,5
88,4
89,5
90,5
91,6
92,6
93,6
94,6
95,6
96,5
97,5
98,5
99,6
100,9
101,9
102,6
103,3
104,8
105,8
106,2
107,5
108,7
109,7
110,7
111,6
112,8
113,6
114,5
115,8
116,7
117,5
118,6
119,8
120,8
121,6
122,4
123,7
124,6
125,4
126,7
127,8
128,6
129,6
130,5
131,6
132,7
133,6
134,8
135,5
136,8
137,8
138,6
139,7
140,7
141,6
142,6
143,5
144,10
145,7
146,7
147,8
148,8
149,6
150,7
151,8
152,6
153,5
154,6
155,6
156,9
157,8
158,5
159,8
160,7
161,8
162,10
163,7
164,8
165,7
166,6
167,8
168,6
169,10
170,11
171,8
172,7
173,8
174,8
175,6
176,6
177,10
178,7
179,9
180,8
181,9
182,9
183,8
184,6
185,5
186,8
187,6
188,8
189,7
190,8
191,7
192,6
193,8
194,7
195,11
196,9
197,9
198,8
199,8
200,8
201,8
202,9
203,5
204,5
205,7
206,8
207,9
208,6
209,6
210,11
211,8
212,8
213,7
214,7
215,8
216,6
217,8
218,9
219,9
220,10
221,9
222,11
223,10
224,9
225,10
226,8
227,7
228,7
229,6
230,7
231,7
232,7
233,8
234,7
235,6
236,6
237,5
238,6
239,8
240,5
241,5
242,5
243,6
244,6
245,5
246,6
247,8
248,7
249,8
250,7
251,4
252,7
253,4
254,7
255,7
256,5
257,8
258,6
259,5
260,10
261,8
262,7
263,8
264,7
265,7
266,4
267,7
268,7
269,6
270,6
271,5
272,5
273,8
274,9
275,8
276,6
277,9
278,10
279,6
280,7
281,7
282,9
283,9
284,7
285,8
286,9
287,10
288,10
289,6
290,8
291,9
292,3
293,9
294,9
295,9
296,6
297,6
298,7
299,10
300,6
301,10
302,8
303,9
304,9
305,7
306,6
307,7
308,6
309,8
310,7
311,8
312,8
313,9
314,11
315,9
316,6
317,8
318,7
319,7
320,6
321,7
322,7
323,8
324,7
325,7
326,8
327,9
328,8
329,8
330,7
331,9
332,11
333,9
334,8
335,7
336,9
337,8
338,8
339,10
340,11
341,8
342,8
343,6
344,9
345,5
346,5
347,9
348,8
349,8
350,7
351,10
352,8
353,8
354,7
355,9
356,7
357,10
358,7
359,8
360,8
361,8
362,9
363,8
364,9
365,11
366,8
367,9
368,8
369,6
370,6
371,6
372,9
373,7
374,9
375,6
376,6
377,8
378,6
379,4
380,8
381,8
382,8
383,8
384,7
385,8
386,9
387,9
388,8
389,11
390,9
391,9
392,9
393,7
394,8
395,9
396,8
397,8
398,9
399,6
400,12
401,7
402,7
403,11
404,6
405,8
406,8
407,11
408,10
409,7
410,9
411,6
412,9
413,10
414,8
415,7
416,8
417,8
418,9
419,7
420,10
421,7
422,10
423,6
424,11
425,9
426,7
427,9
428,9
429,9
430,8
431,4
432,10
433,5
434,4
435,5
436,7
437,7
438,6
439,7
440,7
441,4
442,5
443,8
444,9
445,5
446,7
447,6
448,6
449,9
450,9
451,5
452,11
453,7
454,9
455,6
456,9
457,5
458,8
459,8
460,7
461,6
462,6
463,6
464,5
465,8
466,7
467,8
468,7
469,10
470,6
471,9
472,8
473,8
474,8
475,7
476,7
477,5
478,6
479,8
480,8
481,6
482,6
483,8
484,11
485,6
486,8
487,5
488,8
489,9
490,7
491,9
492,8
493,8
494,6
495,8
496,6
497,6
498,8
499,9
500,8
501,8
502,8
503,10
504,9
505,8
506,9
507,9
508,8
509,11
510,8
511,8
512,9
513,9
514,8
515,8
516,7
517,11
518,8
519,9
520,11
521,8
522,9
523,11
524,7
525,9
526,10
527,6
528,9
529,11
