Frame Number,Number of Clusters
0,44
1,44
2,45
3,43
4,44
5,44
6,44
7,45
8,43
9,44
10,41
11,44
12,41
13,40
14,39
15,38
16,39
17,45
18,43
19,40
20,40
21,43
22,41
23,39
24,39
25,42
26,40
27,41
28,41
29,40
30,42
31,38
32,38
33,38
34,40
35,38
36,36
37,39
38,35
39,35
40,36
41,37
42,37
43,37
44,36
45,39
46,39
47,39
48,35
49,36
50,37
51,36
52,37
53,37
54,36
55,35
56,38
57,37
58,38
59,38
60,38
61,38
62,37
63,39
64,39
65,38
66,38
67,37
68,38
69,37
70,37
71,37
72,36
73,36
74,38
75,38
76,37
77,35
78,34
79,33
80,35
81,34
82,34
83,32
84,31
85,32
86,33
87,33
88,32
89,32
90,33
91,35
92,35
93,34
94,33
95,32
96,32
97,33
98,31
99,29
100,30
101,30
102,31
103,31
104,29
105,33
106,31
107,31
108,29
109,30
110,30
111,30
112,29
113,29
114,29
115,30
116,30
117,30
118,29
119,30
120,31
121,30
122,28
123,29
124,29
125,30
126,30
127,29
128,28
129,29
130,29
131,29
132,29
133,29
134,30
135,28
136,29
137,29
138,29
139,26
140,27
141,28
142,27
143,28
144,27
145,28
146,26
147,26
148,25
149,26
150,28
151,27
152,27
153,26
154,27
155,26
156,27
157,27
158,27
159,28
160,28
161,27
162,26
163,28
164,27
165,26
166,27
167,26
168,26
169,24
170,24
171,27
172,26
173,26
174,27
175,28
176,26
177,25
178,23
179,25
180,27
181,27
182,27
183,26
184,26
185,25
186,27
187,25
188,25
189,25
190,23
191,23
192,26
193,22
194,24
195,23
196,22
197,24
198,23
199,23
200,24
201,24
202,21
203,22
204,24
205,22
206,23
207,24
208,20
209,22
210,20
211,24
212,23
213,22
214,21
215,21
216,21
217,23
218,23
219,18
220,18
221,19
222,19
223,21
224,20
225,20
226,19
227,20
228,20
229,20
230,20
231,20
232,20
233,21
234,19
235,18
236,19
237,18
238,20
239,18
240,17
241,18
242,18
243,19
244,19
245,18
246,17
247,19
248,17
249,18
250,16
251,15
252,15
253,16
254,16
255,17
256,17
257,17
258,17
259,16
260,17
261,16
262,17
263,16
264,17
265,17
266,18
267,17
268,18
269,17
270,18
271,16
272,17
273,19
274,18
275,18
276,18
277,19
278,18
279,18
280,19
281,19
282,19
283,19
284,18
285,19
286,17
287,17
288,18
289,18
290,19
291,18
292,17
293,17
294,16
295,17
296,18
297,19
298,17
299,17
300,19
301,19
302,18
303,18
304,18
305,15
306,18
307,19
308,19
309,17
310,18
311,18
312,18
313,18
314,18
315,18
316,18
317,17
318,16
319,17
320,17
321,18
322,18
323,17
324,16
325,17
326,18
327,18
328,15
329,16
330,14
331,17
332,16
333,16
334,16
335,16
336,15
337,15
338,14
339,14
340,14
341,14
342,14
343,15
344,14
345,14
346,14
347,14
348,15
349,15
350,14
351,14
352,14
353,15
354,14
355,14
356,14
357,14
358,14
359,14
360,15
361,14
362,15
363,14
364,14
365,15
366,16
367,16
368,15
369,14
370,14
371,15
372,15
373,14
374,15
375,13
376,13
377,13
378,13
379,13
380,13
381,13
382,14
383,12
384,13
385,13
386,12
387,13
388,13
389,13
390,12
391,13
392,14
393,13
394,12
395,12
396,13
397,13
398,14
399,14
400,13
401,14
402,14
403,13
404,14
405,13
406,14
407,15
408,13
409,13
410,13
411,13
412,12
413,13
414,15
415,13
416,12
417,14
418,14
419,14
420,13
421,13
422,11
423,13
424,13
425,13
426,13
427,12
428,14
429,14
430,13
431,13
432,13
433,13
434,12
435,12
436,12
437,12
438,12
439,11
440,12
441,10
442,11
443,9
444,10
445,9
446,11
447,13
448,13
449,10
450,10
451,12
452,12
453,12
454,13
455,12
456,12
457,13
458,13
459,13
460,13
461,11
462,12
463,11
464,10
465,10
466,11
467,12
468,11
469,11
470,11
471,10
472,12
473,11
474,12
475,10
476,10
477,11
478,12
479,12
480,13
481,14
482,13
483,13
484,12
485,13
486,13
487,13
488,12
489,12
490,13
491,13
492,13
493,12
494,12
495,12
496,14
497,13
498,15
499,13
500,13
501,14
502,12
503,12
504,13
505,13
506,14
507,12
508,14
509,13
510,12
511,13
512,12
513,12
514,12
515,11
516,11
517,12
518,12
519,11
520,13
521,11
522,12
523,13
524,12
525,13
526,12
527,11
528,10
529,11
530,11
531,11
532,12
533,11
534,11
535,11
536,10
537,10
538,11
539,11
540,10
541,10
542,10
543,10
544,10
545,10
546,10
547,10
548,11
549,10
550,10
551,10
552,10
553,11
554,10
555,10
556,11
557,10
558,11
559,11
560,10
561,9
562,10
563,10
564,10
565,10
566,10
567,10
568,11
569,10
570,10
571,10
572,10
573,10
574,10
575,10
576,10
577,10
578,10
579,10
580,10
581,9
582,10
583,11
584,11
585,10
586,10
587,10
588,10
589,10
590,10
591,11
592,10
593,10
594,10
595,10
596,9
597,10
598,10
599,10
600,10
601,9
602,11
603,10
604,9
605,10
606,10
607,10
608,10
609,10
610,10
611,11
612,11
613,10
614,11
615,8
616,11
617,11
618,11
619,12
620,10
621,10
622,9
623,9
624,9
625,9
626,8
627,8
628,8
629,8
630,9
631,8
632,10
633,8
634,9
635,9
636,8
637,8
638,9
639,8
640,8
641,8
642,8
643,9
644,8
645,8
646,8
647,8
648,8
649,8
650,8
651,9
652,9
653,9
654,8
655,7
656,9
657,8
658,8
659,10
660,9
661,8
662,8
663,9
664,7
665,7
666,8
667,9
668,9
669,8
670,9
671,8
672,9
673,7
674,8
675,8
676,8
677,8
678,9
679,8
680,9
681,9
682,9
683,10
684,9
685,9
686,9
687,9
688,8
689,9
690,9
691,10
692,10
693,10
694,8
695,9
696,8
697,8
698,8
699,8
700,9
701,7
702,7
703,8
704,7
705,8
706,6
707,9
708,9
709,8
710,7
711,7
712,7
713,7
714,7
715,6
716,8
717,8
718,7
719,7
720,6
721,8
722,6
723,8
724,8
725,8
726,7
727,9
728,9
729,8
730,7
731,8
732,6
733,7
734,8
735,8
736,9
737,10
738,7
739,8
740,8
741,9
742,8
743,8
744,9
745,8
746,8
747,8
748,9
749,9
750,8
751,7
752,7
753,7
754,7
755,6
756,6
757,6
758,6
759,7
760,7
761,7
762,8
763,7
764,7
765,7
766,7
767,7
768,7
769,6
770,8
771,8
772,9
773,6
774,7
775,7
776,7
777,7
778,7
779,7
780,7
781,7
782,7
783,8
784,7
785,8
786,7
787,7
788,8
789,7
790,7
791,7
792,7
793,7
794,7
795,7
796,7
797,8
798,7
799,7
800,9
801,7
802,7
803,7
804,7
805,7
806,7
807,7
808,7
809,7
810,7
811,8
812,7
813,8
814,7
815,7
816,7
817,7
818,7
819,7
820,7
821,7
822,8
823,8
824,7
825,8
826,8
827,8
828,8
829,7
830,7
831,8
832,7
833,8
834,7
835,8
836,7
837,7
838,7
839,6
840,7
841,6
842,6
843,6
844,6
845,6
846,6
847,6
848,7
849,6
850,7
851,6
852,6
853,7
854,6
855,6
856,6
857,7
858,8
859,8
860,7
861,7
862,7
863,6
864,6
865,6
866,6
867,6
868,7
869,6
870,7
871,5
872,6
873,7
874,6
875,6
876,6
877,6
