lag_frames,MSD
0,-4.613e-07
1,5.238
2,8.175
3,10.74
4,13.1
5,15.32
6,17.45
7,19.5
8,21.51
9,23.45
10,25.36
11,27.24
12,29.1
13,30.92
14,32.72
15,34.51
16,36.27
17,38.02
18,39.75
19,41.46
20,43.15
21,44.84
22,46.52
23,48.2
24,49.86
25,51.51
26,53.15
27,54.79
28,56.41
29,58.04
30,59.65
31,61.26
32,62.85
33,64.44
34,66.02
35,67.58
36,69.13
37,70.68
38,72.23
39,73.78
40,75.33
41,76.87
42,78.4
43,79.93
44,81.46
45,82.98
46,84.49
47,85.99
48,87.49
49,88.99
50,90.48
51,91.97
52,93.46
53,94.94
54,96.41
55,97.89
56,99.36
57,100.8
58,102.3
59,103.8
60,105.3
61,106.7
62,108.2
63,109.7
64,111.1
65,112.6
66,114.1
67,115.5
68,117
69,118.5
70,119.9
71,121.4
72,122.8
73,124.3
74,125.8
75,127.2
76,128.7
77,130.1
78,131.6
79,133
80,134.5
81,135.9
82,137.4
83,138.8
84,140.3
85,141.7
86,143.1
87,144.6
88,146
89,147.4
90,148.9
91,150.3
92,151.7
93,153.1
94,154.6
95,156
96,157.4
97,158.8
98,160.2
99,161.6
100,163
101,164.4
102,165.7
103,167.1
104,168.5
105,169.9
106,171.3
107,172.6
108,174
109,175.4
110,176.7
111,178.1
112,179.5
113,180.8
114,182.2
115,183.5
116,184.9
117,186.2
118,187.6
119,188.9
120,190.3
121,191.6
122,193
123,194.3
124,195.7
125,197.1
126,198.4
127,199.8
128,201.1
129,202.5
130,203.8
131,205.1
132,206.5
133,207.8
134,209.2
135,210.5
136,211.9
137,213.2
138,214.6
139,215.9
140,217.2
141,218.6
142,219.9
143,221.3
144,222.6
145,224
146,225.3
147,226.6
148,228
149,229.3
150,230.7
151,232
152,233.4
153,234.8
154,236.1
155,237.5
156,238.8
157,240.2
158,241.5
159,242.9
160,244.2
161,245.5
162,246.9
163,248.2
164,249.6
165,250.9
166,252.2
167,253.6
168,254.9
169,256.2
170,257.5
171,258.9
172,260.2
173,261.5
174,262.8
175,264.2
176,265.5
177,266.8
178,268.2
179,269.5
180,270.9
181,272.2
182,273.5
183,274.8
184,276.2
185,277.5
186,278.8
187,280.1
188,281.5
189,282.8
190,284.1
191,285.4
192,286.8
193,288.1
194,289.4
195,290.7
196,292.1
197,293.4
198,294.7
199,296
200,297.3
201,298.6
202,299.9
203,301.2
204,302.4
205,303.7
206,305
207,306.3
208,307.6
209,308.8
210,310.1
211,311.3
212,312.6
213,313.9
214,315.1
215,316.4
216,317.7
217,319
218,320.3
219,321.5
220,322.8
221,324.1
222,325.4
223,326.6
224,327.9
225,329.2
226,330.4
227,331.7
228,333
229,334.2
230,335.5
231,336.7
232,338
233,339.2
234,340.5
235,341.7
236,343
237,344.2
238,345.5
239,346.7
240,347.9
241,349.2
242,350.4
243,351.7
244,352.9
245,354.1
246,355.4
247,356.6
248,357.9
249,359.1
250,360.4
251,361.6
252,362.9
253,364.1
254,365.4
255,366.6
256,367.9
257,369.1
258,370.4
259,371.6
260,372.8
261,374.1
262,375.3
263,376.5
264,377.8
265,379
266,380.2
267,381.4
268,382.7
269,383.9
270,385.1
271,386.3
272,387.5
273,388.7
274,390
275,391.2
276,392.4
277,393.6
278,394.8
279,396
280,397.2
281,398.4
282,399.6
283,400.8
284,402
285,403.2
286,404.4
287,405.6
288,406.8
289,408.1
290,409.3
291,410.5
292,411.7
293,412.9
294,414.1
295,415.3
296,416.6
297,417.8
298,419
299,420.2
300,421.4
301,422.6
302,423.8
303,425
304,426.2
305,427.4
306,428.6
307,429.8
308,431
309,432.2
310,433.4
311,434.7
312,435.9
313,437.1
314,438.3
315,439.5
316,440.7
317,441.9
318,443.2
319,444.4
320,445.6
321,446.8
322,448
323,449.2
324,450.5
325,451.7
326,452.9
327,454.2
328,455.4
329,456.6
330,457.9
331,459.1
332,460.4
333,461.6
334,462.8
335,464
336,465.3
337,466.5
338,467.7
339,468.9
340,470.1
341,471.4
342,472.6
343,473.8
344,475
345,476.2
346,477.5
347,478.7
348,479.9
349,481.1
350,482.3
351,483.6
352,484.8
353,486
354,487.2
355,488.5
356,489.7
357,491
358,492.2
359,493.4
360,494.7
361,495.9
362,497.1
363,498.4
364,499.6
365,500.8
366,502.1
367,503.3
368,504.5
369,505.8
370,507
371,508.3
372,509.5
373,510.7
374,512
375,513.2
376,514.4
377,515.6
378,516.9
379,518.1
380,519.3
381,520.5
382,521.8
383,523
384,524.2
385,525.4
386,526.7
387,527.9
388,529.1
389,530.3
390,531.5
391,532.7
392,533.9
393,535.1
394,536.3
395,537.5
396,538.7
397,539.9
398,541.1
399,542.3
400,543.5
401,544.7
402,545.9
403,547.1
404,548.3
405,549.5
406,550.7
407,551.9
408,553.1
409,554.3
410,555.5
411,556.7
412,557.9
413,559.1
414,560.3
415,561.5
416,562.7
417,563.9
418,565.1
419,566.3
420,567.5
421,568.7
422,569.9
423,571.1
424,572.2
425,573.4
426,574.6
427,575.8
428,577
429,578.2
430,579.3
431,580.5
432,581.7
433,582.9
434,584
435,585.2
436,586.4
437,587.5
438,588.7
439,589.8
440,591
441,592.1
442,593.3
443,594.4
444,595.5
445,596.7
446,597.8
447,599
448,600.1
449,601.2
450,602.4
451,603.5
452,604.7
453,605.8
454,606.9
455,608.1
456,609.2
457,610.4
458,611.5
459,612.7
460,613.9
461,615
462,616.2
463,617.3
464,618.5
465,619.6
466,620.8
467,621.9
468,623.1
469,624.2
470,625.4
471,626.5
472,627.7
473,628.8
474,630
475,631.1
476,632.3
477,633.4
478,634.5
479,635.7
480,636.8
481,638
482,639.1
483,640.3
484,641.4
485,642.6
486,643.7
487,644.8
488,646
489,647.1
490,648.2
491,649.3
492,650.4
493,651.6
494,652.7
495,653.8
496,654.9
497,656.1
498,657.2
499,658.3
500,659.4
501,660.5
502,661.7
503,662.8
504,663.9
505,665
506,666.2
507,667.3
508,668.4
509,669.5
510,670.7
511,671.8
512,672.9
513,674.1
514,675.2
515,676.4
516,677.5
517,678.6
518,679.8
519,680.9
520,682.1
521,683.2
522,684.3
523,685.5
524,686.6
525,687.7
526,688.9
527,690
528,691.1
529,692.3
530,693.4
531,694.6
532,695.7
533,696.8
534,698
535,699.1
536,700.3
537,701.5
538,702.6
539,703.7
540,704.9
541,706
542,707.2
543,708.3
544,709.4
545,710.6
546,711.7
547,712.8
548,714
549,715.1
550,716.2
551,717.4
552,718.5
553,719.6
554,720.7
555,721.9
556,723
557,724.1
558,725.2
559,726.4
560,727.5
561,728.6
562,729.7
563,730.9
564,732
565,733.1
566,734.3
567,735.4
568,736.5
569,737.7
570,738.8
571,739.9
572,741.1
573,742.2
574,743.4
575,744.5
576,745.6
577,746.8
578,747.9
579,749
580,750.2
581,751.3
582,752.5
583,753.6
584,754.8
585,755.9
586,757.1
587,758.2
588,759.3
589,760.5
590,761.6
591,762.8
592,763.9
593,765.1
594,766.2
595,767.4
596,768.5
597,769.7
598,770.8
599,772
600,773.1
601,774.2
602,775.4
603,776.5
604,777.7
605,778.9
606,780
607,781.2
608,782.3
609,783.5
610,784.7
611,785.8
612,787
613,788.2
614,789.3
615,790.5
616,791.6
617,792.8
618,794
619,795.1
620,796.3
621,797.5
622,798.7
623,799.8
624,801
625,802.1
626,803.3
627,804.4
628,805.6
629,806.7
630,807.8
631,809
632,810.1
633,811.3
634,812.4
635,813.6
636,814.7
637,815.8
638,817
639,818.1
640,819.2
641,820.4
642,821.5
643,822.7
644,823.8
645,824.9
646,826.1
647,827.2
648,828.4
649,829.5
650,830.6
651,831.8
652,832.9
653,834.1
654,835.2
655,836.4
656,837.5
657,838.7
658,839.8
659,841
660,842.1
661,843.3
662,844.5
663,845.6
664,846.8
665,847.9
666,849.1
667,850.3
668,851.4
669,852.6
670,853.8
671,854.9
672,856.1
673,857.3
674,858.4
675,859.6
676,860.8
677,862
678,863.2
679,864.3
680,865.5
681,866.7
682,867.9
683,869.1
684,870.3
685,871.4
686,872.6
687,873.8
688,875
689,876.1
690,877.3
691,878.5
692,879.7
693,880.9
694,882
695,883.2
696,884.4
697,885.6
698,886.8
699,887.9
700,889.1
701,890.3
702,891.5
703,892.7
704,893.8
705,895
706,896.2
707,897.4
708,898.6
709,899.8
710,901
711,902.1
712,903.3
713,904.5
714,905.6
715,906.8
716,908
717,909.1
718,910.3
719,911.4
720,912.6
721,913.8
722,914.9
723,916.1
724,917.3
725,918.4
726,919.6
727,920.8
728,921.9
729,923.1
730,924.3
731,925.4
732,926.6
733,927.7
734,928.9
735,930.1
736,931.2
737,932.4
738,933.6
739,934.7
740,935.9
741,937.1
742,938.2
743,939.4
744,940.6
745,941.7
746,942.9
747,944.1
748,945.2
749,946.4
750,947.6
751,948.8
752,950
753,951.2
754,952.3
755,953.5
756,954.7
757,955.8
758,957
759,958.1
760,959.3
761,960.5
762,961.6
763,962.8
764,964
765,965.2
766,966.3
767,967.5
768,968.7
769,969.8
770,971
771,972.2
772,973.4
773,974.5
774,975.7
775,976.9
776,978.1
777,979.2
778,980.4
779,981.6
780,982.8
781,984
782,985.2
783,986.4
784,987.6
785,988.8
786,990
787,991.2
788,992.4
789,993.6
790,994.7
791,995.9
792,997.1
793,998.3
794,999.5
795,1001
796,1002
797,1003
798,1004
799,1005
800,1007
801,1008
802,1009
803,1010
804,1011
805,1012
806,1014
807,1015
808,1016
809,1017
810,1018
811,1019
812,1021
813,1022
814,1023
815,1024
816,1025
817,1026
818,1028
819,1029
820,1030
821,1031
822,1032
823,1033
824,1035
825,1036
826,1037
827,1038
828,1039
829,1040
830,1042
831,1043
832,1044
833,1045
834,1046
835,1047
836,1049
837,1050
838,1051
839,1052
840,1053
841,1054
842,1056
843,1057
844,1058
845,1059
846,1060
847,1061
848,1063
849,1064
850,1065
851,1066
852,1067
853,1068
854,1070
855,1071
856,1072
857,1073
858,1074
859,1076
860,1077
861,1078
862,1079
863,1080
864,1082
865,1083
866,1084
867,1085
868,1086
869,1088
870,1089
871,1090
872,1091
873,1092
874,1093
875,1095
876,1096
877,1097
878,1098
879,1099
880,1101
881,1102
882,1103
883,1104
884,1105
885,1106
886,1108
887,1109
888,1110
889,1111
890,1112
891,1113
892,1115
893,1116
894,1117
895,1118
896,1119
897,1120
898,1122
899,1123
900,1124
901,1125
902,1126
903,1127
904,1129
905,1130
906,1131
907,1132
908,1133
909,1134
910,1136
911,1137
912,1138
913,1139
914,1140
915,1141
916,1142
917,1144
918,1145
919,1146
920,1147
921,1148
922,1149
923,1150
924,1152
925,1153
926,1154
927,1155
928,1156
929,1157
930,1159
931,1160
932,1161
933,1162
934,1163
935,1164
936,1165
937,1167
938,1168
939,1169
940,1170
941,1171
942,1172
943,1174
944,1175
945,1176
946,1177
947,1178
948,1179
949,1181
950,1182
951,1183
952,1184
953,1185
954,1186
955,1188
956,1189
957,1190
958,1191
959,1192
960,1194
961,1195
962,1196
963,1197
964,1198
965,1199
966,1201
967,1202
968,1203
969,1204
970,1205
971,1207
972,1208
973,1209
974,1210
975,1211
976,1213
977,1214
978,1215
979,1216
980,1217
981,1219
982,1220
983,1221
984,1222
985,1223
986,1225
987,1226
988,1227
989,1228
990,1229
991,1231
992,1232
993,1233
994,1234
995,1235
996,1236
997,1238
998,1239
999,1240
1000,1241
1001,1242
1002,1244
1003,1245
1004,1246
1005,1247
1006,1248
1007,1250
1008,1251
1009,1252
1010,1253
1011,1254
1012,1255
1013,1257
1014,1258
1015,1259
1016,1260
1017,1261
1018,1262
1019,1264
1020,1265
1021,1266
1022,1267
1023,1268
1024,1270
1025,1271
1026,1272
1027,1273
1028,1274
1029,1275
1030,1277
1031,1278
1032,1279
1033,1280
1034,1281
1035,1282
1036,1284
1037,1285
1038,1286
1039,1287
1040,1288
1041,1290
1042,1291
1043,1292
1044,1293
1045,1294
1046,1296
1047,1297
1048,1298
1049,1299
1050,1300
1051,1301
1052,1303
1053,1304
1054,1305
1055,1306
1056,1307
1057,1308
1058,1310
1059,1311
1060,1312
1061,1313
1062,1314
1063,1315
1064,1317
1065,1318
1066,1319
1067,1320
1068,1321
1069,1322
1070,1323
1071,1325
1072,1326
1073,1327
1074,1328
1075,1329
1076,1330
1077,1332
1078,1333
1079,1334
1080,1335
1081,1336
1082,1337
1083,1338
1084,1340
1085,1341
1086,1342
1087,1343
1088,1344
1089,1345
1090,1346
1091,1348
1092,1349
1093,1350
1094,1351
1095,1352
1096,1353
1097,1354
1098,1355
1099,1357
1100,1358
1101,1359
1102,1360
1103,1361
1104,1362
1105,1363
1106,1365
1107,1366
1108,1367
1109,1368
1110,1369
1111,1370
1112,1371
1113,1373
1114,1374
1115,1375
1116,1376
1117,1377
1118,1378
1119,1379
1120,1381
1121,1382
1122,1383
1123,1384
1124,1385
1125,1386
1126,1387
1127,1388
1128,1390
1129,1391
1130,1392
1131,1393
1132,1394
1133,1395
1134,1396
1135,1397
1136,1399
1137,1400
1138,1401
1139,1402
1140,1403
1141,1404
1142,1405
1143,1406
1144,1407
1145,1408
1146,1410
1147,1411
1148,1412
1149,1413
1150,1414
1151,1415
1152,1416
1153,1417
1154,1418
1155,1419
1156,1420
1157,1422
1158,1423
1159,1424
1160,1425
1161,1426
1162,1427
1163,1428
1164,1429
1165,1430
1166,1432
1167,1433
1168,1434
1169,1435
1170,1436
1171,1437
1172,1438
1173,1439
1174,1441
1175,1442
1176,1443
1177,1444
1178,1445
1179,1446
1180,1447
1181,1448
1182,1450
1183,1451
1184,1452
1185,1453
1186,1454
1187,1455
1188,1456
1189,1457
1190,1459
1191,1460
1192,1461
1193,1462
1194,1463
1195,1464
1196,1465
1197,1466
1198,1468
1199,1469
1200,1470
1201,1471
1202,1472
1203,1473
1204,1474
1205,1475
1206,1476
1207,1478
1208,1479
1209,1480
1210,1481
1211,1482
1212,1483
1213,1484
1214,1485
1215,1486
1216,1487
1217,1488
1218,1490
1219,1491
1220,1492
1221,1493
1222,1494
1223,1495
1224,1496
1225,1497
1226,1498
1227,1499
1228,1500
1229,1502
1230,1503
1231,1504
1232,1505
1233,1506
