lag_frames,MSD
0,-4.764e-07
1,4.634
2,7.313
3,9.67
4,11.85
5,13.92
6,15.91
7,17.84
8,19.72
9,21.55
10,23.36
11,25.13
12,26.89
13,28.62
14,30.32
15,32.01
16,33.68
17,35.35
18,36.99
19,38.61
20,40.22
21,41.83
22,43.43
23,45.02
24,46.6
25,48.17
26,49.73
27,51.28
28,52.83
29,54.37
30,55.91
31,57.43
32,58.95
33,60.46
34,61.96
35,63.45
36,64.92
37,66.4
38,67.88
39,69.36
40,70.83
41,72.3
42,73.77
43,75.23
44,76.69
45,78.13
46,79.57
47,81.01
48,82.44
49,83.87
50,85.29
51,86.71
52,88.13
53,89.55
54,90.95
55,92.36
56,93.76
57,95.17
58,96.59
59,97.99
60,99.4
61,100.8
62,102.2
63,103.6
64,105
65,106.4
66,107.8
67,109.1
68,110.5
69,111.9
70,113.3
71,114.7
72,116.1
73,117.5
74,118.9
75,120.2
76,121.6
77,123
78,124.4
79,125.8
80,127.2
81,128.5
82,129.9
83,131.3
84,132.6
85,134
86,135.4
87,136.7
88,138.1
89,139.5
90,140.8
91,142.2
92,143.5
93,144.9
94,146.2
95,147.6
96,148.9
97,150.2
98,151.6
99,152.9
100,154.2
101,155.5
102,156.9
103,158.2
104,159.5
105,160.8
106,162.1
107,163.4
108,164.7
109,166
110,167.3
111,168.7
112,170
113,171.2
114,172.5
115,173.8
116,175.1
117,176.4
118,177.7
119,179
120,180.3
121,181.5
122,182.8
123,184.1
124,185.4
125,186.7
126,188
127,189.3
128,190.5
129,191.8
130,193.1
131,194.4
132,195.7
133,197
134,198.2
135,199.5
136,200.8
137,202.1
138,203.4
139,204.6
140,205.9
141,207.2
142,208.5
143,209.8
144,211
145,212.3
146,213.6
147,214.9
148,216.1
149,217.4
150,218.7
151,220
152,221.3
153,222.5
154,223.8
155,225.1
156,226.4
157,227.7
158,229
159,230.2
160,231.5
161,232.8
162,234.1
163,235.3
164,236.6
165,237.9
166,239.1
167,240.4
168,241.6
169,242.9
170,244.1
171,245.4
172,246.7
173,247.9
174,249.2
175,250.4
176,251.7
177,253
178,254.3
179,255.5
180,256.8
181,258.1
182,259.3
183,260.6
184,261.8
185,263.1
186,264.4
187,265.6
188,266.9
189,268.1
190,269.4
191,270.6
192,271.9
193,273.1
194,274.4
195,275.7
196,276.9
197,278.1
198,279.4
199,280.6
200,281.9
201,283.1
202,284.3
203,285.5
204,286.8
205,288
206,289.2
207,290.4
208,291.6
209,292.8
210,294
211,295.2
212,296.5
213,297.7
214,298.9
215,300.1
216,301.3
217,302.6
218,303.8
219,305
220,306.2
221,307.4
222,308.7
223,309.9
224,311.1
225,312.3
226,313.5
227,314.7
228,315.9
229,317.1
230,318.3
231,319.5
232,320.7
233,321.9
234,323
235,324.2
236,325.4
237,326.6
238,327.8
239,329
240,330.2
241,331.4
242,332.5
243,333.7
244,334.9
245,336.1
246,337.3
247,338.5
248,339.6
249,340.8
250,342
251,343.2
252,344.4
253,345.6
254,346.8
255,348
256,349.2
257,350.4
258,351.6
259,352.8
260,354
261,355.1
262,356.3
263,357.5
264,358.7
265,359.8
266,361
267,362.2
268,363.3
269,364.5
270,365.7
271,366.8
272,368
273,369.1
274,370.3
275,371.4
276,372.6
277,373.7
278,374.9
279,376
280,377.2
281,378.3
282,379.5
283,380.6
284,381.8
285,382.9
286,384
287,385.2
288,386.3
289,387.5
290,388.6
291,389.8
292,390.9
293,392.1
294,393.3
295,394.4
296,395.6
297,396.7
298,397.9
299,399
300,400.2
301,401.3
302,402.5
303,403.6
304,404.8
305,405.9
306,407.1
307,408.2
308,409.4
309,410.5
310,411.7
311,412.8
312,414
313,415.2
314,416.3
315,417.5
316,418.6
317,419.8
318,420.9
319,422.1
320,423.2
321,424.4
322,425.6
323,426.7
324,427.9
325,429.1
326,430.2
327,431.4
328,432.5
329,433.7
330,434.9
331,436
332,437.2
333,438.4
334,439.5
335,440.7
336,441.9
337,443
338,444.2
339,445.3
340,446.5
341,447.6
342,448.8
343,449.9
344,451.1
345,452.2
346,453.4
347,454.6
348,455.7
349,456.9
350,458
351,459.2
352,460.3
353,461.5
354,462.7
355,463.9
356,465
357,466.2
358,467.4
359,468.6
360,469.8
361,470.9
362,472.1
363,473.3
364,474.5
365,475.7
366,476.8
367,478
368,479.2
369,480.4
370,481.6
371,482.7
372,483.9
373,485.1
374,486.3
375,487.4
376,488.6
377,489.8
378,491
379,492.1
380,493.3
381,494.5
382,495.7
383,496.8
384,498
385,499.1
386,500.3
387,501.5
388,502.6
389,503.8
390,504.9
