lag_frames,MSD
0,-4.887e-07
1,4.145
2,6.614
3,8.804
4,10.85
5,12.79
6,14.67
7,16.49
8,18.27
9,20.01
10,21.73
11,23.42
12,25.1
13,26.75
14,28.37
15,29.99
16,31.59
17,33.18
18,34.75
19,36.31
20,37.85
21,39.38
22,40.92
23,42.45
24,43.96
25,45.46
26,46.96
27,48.44
28,49.92
29,51.4
30,52.87
31,54.33
32,55.78
33,57.23
34,58.67
35,60.1
36,61.51
37,62.93
38,64.35
39,65.78
40,67.19
41,68.61
42,70.01
43,71.42
44,72.82
45,74.21
46,75.59
47,76.97
48,78.35
49,79.73
50,81.09
51,82.46
52,83.82
53,85.18
54,86.53
55,87.88
56,89.23
57,90.58
58,91.93
59,93.28
60,94.63
61,95.97
62,97.31
63,98.65
64,99.98
65,101.3
66,102.6
67,104
68,105.3
69,106.6
70,108
71,109.3
72,110.6
73,112
74,113.3
75,114.6
76,115.9
77,117.2
78,118.6
79,119.9
80,121.2
81,122.5
82,123.8
83,125.1
84,126.5
85,127.8
86,129.1
87,130.4
88,131.7
89,133
90,134.3
91,135.6
92,136.9
93,138.2
94,139.5
95,140.7
96,142
97,143.3
98,144.6
99,145.8
100,147.1
101,148.4
102,149.7
103,150.9
104,152.2
105,153.4
106,154.7
107,156
108,157.2
109,158.5
110,159.7
111,161
112,162.2
113,163.5
114,164.7
115,166
116,167.2
117,168.4
118,169.7
119,170.9
120,172.1
121,173.4
122,174.6
123,175.8
124,177.1
125,178.3
126,179.5
127,180.8
128,182
129,183.2
130,184.4
131,185.7
132,186.9
133,188.1
134,189.4
135,190.6
136,191.8
137,193.1
138,194.3
139,195.5
140,196.7
141,198
142,199.2
143,200.4
144,201.6
145,202.9
146,204.1
147,205.3
148,206.5
149,207.8
150,209
151,210.2
152,211.4
153,212.7
154,213.9
155,215.1
156,216.3
157,217.6
158,218.8
159,220
160,221.2
161,222.5
162,223.7
163,224.9
164,226.1
165,227.3
166,228.5
167,229.7
168,230.9
169,232.1
170,233.3
171,234.5
172,235.7
173,236.9
174,238.1
175,239.3
176,240.5
177,241.7
178,243
179,244.2
180,245.4
181,246.6
182,247.8
183,249
184,250.2
185,251.5
186,252.7
187,253.8
188,255
189,256.2
190,257.4
191,258.6
192,259.8
193,261
194,262.2
195,263.4
196,264.6
197,265.8
198,267
199,268.2
200,269.4
201,270.5
202,271.7
203,272.9
204,274.1
205,275.2
206,276.4
207,277.6
208,278.7
209,279.9
210,281
211,282.2
212,283.4
213,284.5
214,285.7
215,286.9
216,288.1
217,289.2
218,290.4
219,291.6
220,292.8
221,294
222,295.1
223,296.3
224,297.5
225,298.6
226,299.8
227,300.9
228,302.1
229,303.2
230,304.4
231,305.5
232,306.7
233,307.8
234,308.9
235,310.1
236,311.2
