Distance (Å),Window 1,Window 2,Window 3,Window 4
0.5,0.0,0.0,0.0,0.0
1.5,0.0,0.0,0.0,0.0
2.5,0.0,0.0,0.0,0.0
3.5,0.0,0.0,0.0,0.0
4.5,4.589445843149612,6.338696449987434,6.6058823954408235,6.521056695094408
5.5,10.415712462296474,14.203180476908198,14.893823874789344,14.596589753149033
6.5,6.732909546285569,9.537659916549096,9.981775538507824,9.724259849298216
7.5,7.510545294974395,10.544066236411986,11.147485801675,11.057528761909682
8.5,7.800572206268601,10.653653861101546,10.863356559517701,11.276802576046434
9.5,7.825502970627542,10.607887393986635,10.867197211682427,11.135393094744874
10.5,7.49719630336854,9.925624891238268,10.398117858365952,10.605750644939244
11.5,6.764874314815369,9.098281578503535,9.541616665880639,9.873030603521759
12.5,6.619624444939422,8.79767162543012,9.06715211159141,9.493870430502291
13.5,6.493346917186832,8.591863405014747,8.743977946349638,9.195356328004147
14.5,6.324942767062595,8.249170471061928,8.48586054840339,8.965008898038905
15.5,5.927460214009397,7.794642738586692,8.128190073156064,8.475958877852294
16.5,5.651481993681117,7.34907982088808,7.707213601263988,8.202669196665195
17.5,5.456377712415646,7.180005336056666,7.427663502781689,7.845108162781428
18.5,5.134110005409409,6.864641790922034,7.182716148696933,7.551262154696862
19.5,4.820878618288994,6.5106435857041225,6.852628319997078,7.1501836420403375
20.5,4.4639801295855435,6.091835479618193,6.434907383015347,6.72326106238738
21.5,4.159957483080538,5.743142810459872,6.052588227059296,6.353191734961219
22.5,3.875117211467577,5.45331172289592,5.7553125312116205,5.978273295869982
23.5,3.5733630248228376,5.147209129460291,5.47893902679603,5.65907057806025
24.5,3.3068988137158186,4.851055613307727,5.145692073130003,5.283496443664272
25.5,3.0643437541545837,4.545963515830771,4.844464295406896,4.940526998922313
26.5,2.8609086396012655,4.317526382027299,4.603682519181446,4.6656762152614775
27.5,2.6557250974500213,4.098091291475576,4.3787326166433544,4.43740679740417
28.5,2.462988987724489,3.8762476963722574,4.156067592879215,4.179613584166351
29.5,2.2825922791495317,3.6947169731513987,3.9416180226901942,3.897854990428939
30.5,2.12509898866497,3.5110188255388732,3.764620989341655,3.6464566333082806
31.5,1.9859064860110316,3.3476172284703116,3.5741882701093335,3.4472929992262515
32.5,1.8570076250036114,3.1833530513401556,3.378734678793259,3.259982056268743
33.5,1.7402055864173342,3.023738216083889,3.1717631922482976,3.073137507622196
34.5,1.6363047693747252,2.8708725530683474,2.9796706475679735,2.8926620511609924
35.5,1.5394845379271014,2.7076789831374595,2.7832016075807533,2.726539149359224
36.5,1.4435057420634316,2.5466422313013863,2.5941181579603807,2.5610241336797377
37.5,1.3631929283466613,2.395263190373819,2.4130242773306336,2.3920039838080163
38.5,1.281364592843325,2.255652784756658,2.2408128515404493,2.2169656167976997
39.5,1.2067637094503612,2.123816972764923,2.0816451520125585,2.0541651271414976
40.5,1.1378534435379561,2.003482095901354,1.930055245404005,1.9264959081678161
41.5,1.076049737516695,1.8931936269176437,1.7958236716262495,1.810384256230857
42.5,1.0189042050389834,1.7960835681559562,1.6685665752267238,1.692092218741094
43.5,0.9657949749187962,1.705343398577011,1.5475770055083968,1.5781931828754807
44.5,0.9174997570888469,1.6233656848557558,1.438486008575278,1.4704840147124776
45.5,0.8757358351137535,1.541970531921479,1.3300120078688586,1.371672638387041
46.5,0.8388230522404195,1.4618889301452713,1.2278961454842823,1.2831158969196
47.5,0.8047019744958641,1.3886192083644102,1.1257795432728548,1.1938104350401293
48.5,0.7740639451162398,1.315193050290128,1.0263785750814653,1.098502225912729
49.5,0.7462068009794376,1.245593614468281,0.9302042098749185,0.9988784022402651
50.5,0.7206619468579101,1.1738877517333874,0.8360620980172784,0.8984395678557479
51.5,0.6946319601383554,1.1038634200548343,0.7493747531958768,0.7996269267792372
52.5,0.6732762171472054,1.0379350515870982,0.6683541518129462,0.7067664066030547
53.5,0.6515572896299213,0.9764529853619971,0.5898430605792271,0.619844229009993
54.5,0.6305722254282863,0.9171723299817109,0.5166137704629424,0.5443600458643697
55.5,0.610284008228416,0.8651396819927133,0.4504109340044779,0.4760761782706034
56.5,0.5938467969132514,0.8173428395380989,0.3921388466048202,0.41256634662994307
57.5,0.579319797948155,0.778682691369855,0.3429661576559863,0.3600925446459361
58.5,0.5642736059279465,0.743597719658118,0.2988415776161236,0.3215493349076856
59.5,0.5517217114591414,0.7130538833311749,0.2637405868054968,0.29469226631420964
60.5,0.540627453103721,0.6895336750732384,0.23463659338432968,0.26870516923966464
