Distance (Å),Window 1,Window 2,Window 3,Window 4
0.5,0.0,0.0,0.0,0.0
1.5,0.0,0.0,0.0,0.0
2.5,0.0,0.0,0.0,0.0
3.5,0.0,0.0,0.0,0.0
4.5,1.1720388253597374,1.390095804719489,1.469644845964365,1.4838139579754779
5.5,2.628493080768476,3.0281414128592483,3.1704275124960692,3.1520946259242573
6.5,1.340977579608083,1.5604269914971065,1.5711352382625936,1.655428862737714
7.5,1.6469596651168565,1.9229583588557686,1.9016796745244866,2.0119910954027147
8.5,2.1955031497749062,2.4105788930349896,2.537667775494204,2.729529936995654
9.5,3.1618050633139156,3.491877407444115,3.5601325274511098,3.7631582986673373
10.5,3.325147700303647,3.6527108406768183,3.692363896753398,4.060505160852658
11.5,3.23886655094784,3.665800422548836,3.730659755132866,4.0944791648648255
12.5,3.7959874128772513,4.387969092298701,4.27975074035356,4.752829899425641
13.5,4.2312451729616365,4.9479726074853225,4.958008325086387,5.499629407024404
14.5,4.471489271024395,5.212033473897578,5.464744793353374,5.954389148426197
15.5,4.423624758880978,5.232498859574342,5.498045302904326,6.0772331393689285
16.5,4.489446445286753,5.423388804829537,5.660186268372292,6.344302765219122
17.5,4.628087344165839,5.698923968788676,5.953649598178857,6.614104089363309
18.5,4.579394666713282,5.83552012012123,6.122921717725283,6.853389775582012
19.5,4.491475127464319,5.899542913956709,6.201560319056787,6.900720467608619
20.5,4.3296487346442225,5.78161162152323,6.1545306497188745,6.940331277038058
21.5,4.194353838316291,5.772420449829097,6.192336237200073,6.881816638197015
22.5,4.058995016547972,5.743088439936021,6.230852380338844,6.7643246066620515
23.5,3.886575604174302,5.6700012664139745,6.2095200084700295,6.596262349543781
24.5,3.70727596846843,5.539450860530731,6.065619798605987,6.33712417544985
25.5,3.5346355250419195,5.376323105277595,5.914227311012434,6.056175573723049
26.5,3.4147344186026753,5.270369300119057,5.794285652622403,5.802689227709835
27.5,3.2753823346681967,5.162462977491774,5.648693596176679,5.624177520584804
28.5,3.122881136781715,5.027100808772544,5.4642752343066645,5.408887769889782
29.5,2.970665278175238,4.886863307195674,5.251692205156862,5.136828304233883
30.5,2.833284055853655,4.690777490427545,5.07446824405287,4.862728387534511
31.5,2.6971300845371604,4.499591331274276,4.863034720765968,4.632723597702011
32.5,2.562677479929391,4.287634170760473,4.619417715873661,4.407422777496239
33.5,2.428884469295648,4.071377950638282,4.366525910561904,4.14804825051985
34.5,2.3120159305093995,3.8686400821518445,4.115144481931508,3.9034313449705045
35.5,2.197433896279434,3.650592986285623,3.8549825127038466,3.6774795800221742
36.5,2.0823604208997475,3.4202945897539196,3.5874525227172045,3.4643190989703063
37.5,1.9831558189547698,3.2021445449854467,3.3357187827548263,3.2470847977927346
38.5,1.880184725647193,3.013444804666291,3.0769975821542648,3.003708410076175
39.5,1.792334292686495,2.82377842111844,2.827560540434997,2.768752432286873
40.5,1.7060009336894666,2.641772998111098,2.598437359920017,2.5807086835305064
41.5,1.6305098225259793,2.467133915566363,2.3882587446646273,2.4052183830229854
42.5,1.55754145290331,2.3034074481669027,2.194445633586172,2.2288675281000785
43.5,1.492542874250153,2.1511090677632536,2.002164391773379,2.0502662899908906
44.5,1.4280766396200122,2.013031605200613,1.8351351564120901,1.8871061042628667
45.5,1.370097292318883,1.883023170504468,1.6747971251624947,1.7433394968817482
46.5,1.316992163278608,1.7534982227827476,1.5280578180359832,1.6078284653710373
47.5,1.2668400153469832,1.6424218771675398,1.3897391883713393,1.4573987558516308
48.5,1.21877379797825,1.5390287405439438,1.2571676112064594,1.3056374277273894
49.5,1.1722418787781144,1.4439198734564194,1.1282192938014384,1.1753718098873964
50.5,1.1276609170930607,1.3479087394252764,1.007497806374454,1.052994467156133
51.5,1.0849534064178208,1.2612757388794638,0.8954683314510891,0.937779588692438
52.5,1.0453143385552384,1.1780259368235464,0.7980878664880721,0.8208170198638534
53.5,1.0078462469097127,1.1049172333733734,0.7052035082899845,0.7216933228648531
54.5,0.969463382722011,1.0323157164068901,0.6220430929431187,0.6460413057196972
55.5,0.933886652695065,0.9679801919317836,0.549332028304715,0.5804802679605037
56.5,0.9044313335023635,0.9087384357735662,0.48604270051009163,0.5150322212953773
57.5,0.8784656285330716,0.8583890319915466,0.43204998645623094,0.45584115408739073
58.5,0.8511894259622942,0.8085485705199532,0.383182018649156,0.40909339681820206
59.5,0.8271013665463798,0.7672435547755582,0.3416485178857709,0.3724607048641288
60.5,0.8044422251753849,0.7280383462522905,0.3061001196859063,0.33120398160226894
