Distance (Å),Window 1,Window 2,Window 3,Window 4
0.5,0.0,0.0,0.0,0.0
1.5,0.0,0.0,0.0,0.0
2.5,0.0,0.003745885385487142,0.0037461260622713615,0.011238420569866176
3.5,0.2676188883973905,0.4430606236582045,1.1962122992268225,2.0589933950359325
4.5,0.14910683093804938,0.25046258785147907,0.8443931909433409,1.370053538596937
5.5,0.1502518838970991,0.21677425004622203,1.0513509654801318,1.667046106655387
6.5,0.14790520827190592,0.26497960621248484,0.9986179014476633,1.5462709834460757
7.5,0.1399169921566288,0.24580248696207446,0.881422085123164,1.3230155381709126
8.5,0.17760518408226614,0.2981344999665827,1.0357204171582728,1.608526996955224
9.5,0.3894071549169852,0.6142837358540003,1.6387204982021053,2.2307711895362963
10.5,0.4764203961235756,0.8181534258120632,1.9102583281255743,2.49172081441406
11.5,0.5747071125426759,0.8631450895479005,2.110221748207242,2.7013964204808683
12.5,0.7484547539590996,1.2034209232446378,2.485002175253849,3.058724796349533
13.5,0.9066704935370058,1.5168792808529443,2.7265200351056444,3.2989147425064678
14.5,1.0628353221931974,1.8274765883803141,2.8276355177794303,3.27670212108558
15.5,1.16730350669241,1.9388152042589546,2.7756819741536667,3.2648139990670644
16.5,1.2739897942368137,2.069877535258097,2.7684742792292867,3.2241489503085066
17.5,1.3747285841654668,2.2308765112867355,2.723536234328843,3.1628436067293
18.5,1.4395046633284396,2.3247036434640167,2.6882083898386075,3.1130260834119814
19.5,1.4799921290674132,2.4603556300147065,2.69926549801736,3.0818788358666396
20.5,1.5413967036905318,2.552346094533479,2.7880243667005007,3.1414816731411492
21.5,1.5776418213761516,2.679171827846901,2.9700963770336224,3.2509911168570187
22.5,1.5944573710671626,2.7696490449381277,3.088199622387184,3.280889636695308
23.5,1.6354366197717918,2.8829670720246336,3.207641353110787,3.3736678990668443
24.5,1.671616017648856,2.9872208813014858,3.290251710185186,3.471505750684335
25.5,1.6787310344154633,3.135347987265373,3.41039271466642,3.6021861286494268
26.5,1.7060682269119112,3.278587813324067,3.4764337292008944,3.6379483898418825
27.5,1.7463704783546083,3.367597186670082,3.4951823945207017,3.696517728433752
28.5,1.7783657480522415,3.4876870035197594,3.5505689049767346,3.792360007156123
29.5,1.8448760655987828,3.617078671466358,3.62600253431248,3.888860096575663
30.5,1.8906481507874453,3.6955456607354664,3.7136388320436446,4.0106685575608685
31.5,1.9681069397272979,3.8060389109715427,3.823557535822407,4.1377661987341705
32.5,2.065713518837168,3.9155432210032384,3.923487419279677,4.23041835514278
33.5,2.123813073212661,3.968331123321004,4.0297670697080985,4.3232406704737265
34.5,2.179444873671447,3.997324576530407,4.156211821240408,4.463344201841158
35.5,2.2364036396752307,4.041502879711333,4.251216176498229,4.573789311738711
36.5,2.2707380029257918,4.079942075890514,4.36051432355064,4.7003427981166075
37.5,2.3067979933039373,4.104576329636748,4.435869055638426,4.765757594520332
38.5,2.333416643911586,4.117437429207782,4.48005283831722,4.786325188543654
39.5,2.3581260053980446,4.115683069199565,4.5180437074448685,4.81597839361046
40.5,2.3895977430137965,4.1177958811379956,4.5411340457517975,4.825349180264388
41.5,2.434447698050531,4.0911676450024475,4.5596284758680365,4.8336374853074515
42.5,2.4789492390001358,4.069726243962298,4.5709917055329115,4.83869309318529
43.5,2.5197657242968092,4.060120322518986,4.5757925736648195,4.822322395749562
44.5,2.553095799402615,4.015858993357516,4.584320139771348,4.820111374701601
45.5,2.585179776738937,3.9862064589392787,4.57872826348411,4.845576846269612
46.5,2.605359054047848,3.958010557503876,4.590102123413609,4.856473254633249
47.5,2.6182719276451847,3.906527644273519,4.579349485976902,4.826524013790918
48.5,2.6266570937044484,3.8378726953261895,4.544371274464535,4.7647667744437525
49.5,2.6210969981727406,3.7494766998074325,4.4918347269236065,4.674011704327298
50.5,2.5984090662607207,3.650007822776795,4.395692048185555,4.550399179121448
51.5,2.5639813605985147,3.5340055166616215,4.266944534150467,4.415244596408045
52.5,2.5177465672413444,3.4190246846093775,4.1417993961670865,4.254187895887868
53.5,2.46432978276014,3.2995230306894063,4.001608994973755,4.078087677516063
54.5,2.403352878789726,3.1861457459194495,3.8596919905301554,3.889867368160205
55.5,2.3301489509211293,3.0617181945194827,3.7121187155545994,3.6935432898580705
56.5,2.258860948138391,2.9435435546350823,3.5387384581465287,3.5066032685550863
57.5,2.1784927119144135,2.8146498067631662,3.3570289262433812,3.3246309338502775
58.5,2.097806907113992,2.6760002101630067,3.169014550837588,3.156114596358859
59.5,2.0145933040072306,2.538355562984434,2.9772007390578934,2.995083758556157
